Year,Month,MFR,MODEL,DelayedFlights
2004,1,AIRBUS,A300B4,15
2004,1,AIRBUS,A319,1649
2004,1,AIRBUS,A320,2785
2004,1,AIRBUS,A321,93
2004,1,AIRBUS,A340,7
2004,1,BOEING,707,25
2004,1,BOEING,717,811
2004,1,BOEING,737,1779
2004,1,BOEING,747,135
2004,1,BOEING,757,1941
2004,1,BOEING,767,902
2004,1,BOEING,777,136
2004,2,AIRBUS,A300B4,12
2004,2,AIRBUS,A319,1209
2004,2,AIRBUS,A320,2001
2004,2,AIRBUS,A321,59
2004,2,AIRBUS,A340,6
2004,2,BOEING,707,14
2004,2,BOEING,717,819
2004,2,BOEING,737,1431
2004,2,BOEING,747,100
2004,2,BOEING,757,1705
2004,2,BOEING,767,938
2004,2,BOEING,777,82
2004,3,AIRBUS,A300B4,12
2004,3,AIRBUS,A319,1341
2004,3,AIRBUS,A320,2170
2004,3,AIRBUS,A321,62
2004,3,AIRBUS,A340,3
2004,3,BOEING,707,10
2004,3,BOEING,717,693
2004,3,BOEING,737,3706
2004,3,BOEING,747,94
2004,3,BOEING,757,1623
2004,3,BOEING,767,718
2004,3,BOEING,777,79
2004,4,AIRBUS,A300B4,12
2004,4,AIRBUS,A319,1063
2004,4,AIRBUS,A320,1721
2004,4,AIRBUS,A321,61
2004,4,AIRBUS,A340,1
2004,4,BOEING,707,9
2004,4,BOEING,717,458
2004,4,BOEING,737,3894
2004,4,BOEING,747,88
2004,4,BOEING,757,1413
2004,4,BOEING,767,652
2004,4,BOEING,777,71
2004,5,AIRBUS,A300B4,8
2004,5,AIRBUS,A319,1405
2004,5,AIRBUS,A320,2139
2004,5,AIRBUS,A321,63
2004,5,AIRBUS,A340,3
2004,5,BOEING,707,9
2004,5,BOEING,717,480
2004,5,BOEING,737,4102
2004,5,BOEING,747,119
2004,5,BOEING,757,1665
2004,5,BOEING,767,879
2004,5,BOEING,777,102
2004,6,AIRBUS,A300B4,22
2004,6,AIRBUS,A319,1845
2004,6,AIRBUS,A320,2783
2004,6,AIRBUS,A321,123
2004,6,AIRBUS,A340,5
2004,6,BOEING,707,18
2004,6,BOEING,717,633
2004,6,BOEING,737,5717
2004,6,BOEING,747,154
2004,6,BOEING,757,2403
2004,6,BOEING,767,1100
2004,6,BOEING,777,106
2004,7,AIRBUS,A300B4,16
2004,7,AIRBUS,A319,1691
2004,7,AIRBUS,A320,2852
2004,7,AIRBUS,A321,128
2004,7,AIRBUS,A340,5
2004,7,BOEING,717,626
2004,7,BOEING,737,5378
2004,7,BOEING,747,147
2004,7,BOEING,757,2506
2004,7,BOEING,767,1132
2004,7,BOEING,777,92
2004,8,AIRBUS,A300B4,17
2004,8,AIRBUS,A319,1447
2004,8,AIRBUS,A320,2768
2004,8,AIRBUS,A321,126
2004,8,AIRBUS,A330,2
2004,8,AIRBUS,A340,4
2004,8,BOEING,717,504
2004,8,BOEING,737,5115
2004,8,BOEING,747,133
2004,8,BOEING,757,2213
2004,8,BOEING,767,904
2004,8,BOEING,777,94
2004,9,AIRBUS,A300B4,17
2004,9,AIRBUS,A319,907
2004,9,AIRBUS,A320,1548
2004,9,AIRBUS,A321,59
2004,9,AIRBUS,A330,2
2004,9,AIRBUS,A340,1
2004,9,BOEING,717,375
2004,9,BOEING,737,2879
2004,9,BOEING,747,94
2004,9,BOEING,757,1301
2004,9,BOEING,767,661
2004,9,BOEING,777,60
2004,10,AIRBUS,A300B4,9
2004,10,AIRBUS,A319,1211
2004,10,AIRBUS,A320,2178
2004,10,AIRBUS,A321,97
2004,10,AIRBUS,A330,1
2004,10,AIRBUS,A340,7
2004,10,BOEING,717,403
2004,10,BOEING,737,4161
2004,10,BOEING,747,108
2004,10,BOEING,757,1418
2004,10,BOEING,767,699
2004,10,BOEING,777,69
2004,11,AIRBUS,A300B4,27
2004,11,AIRBUS,A319,1411
2004,11,AIRBUS,A320,2202
2004,11,AIRBUS,A321,129
2004,11,AIRBUS,A340,8
2004,11,BOEING,717,537
2004,11,BOEING,737,4588
2004,11,BOEING,747,121
2004,11,BOEING,757,1486
2004,11,BOEING,767,760
2004,11,BOEING,777,86
2004,12,AIRBUS,A300B4,41
2004,12,AIRBUS,A319,2390
2004,12,AIRBUS,A320,4713
2004,12,AIRBUS,A321,194
2004,12,AIRBUS,A340,10
2004,12,BOEING,717,757
2004,12,BOEING,737,6996
2004,12,BOEING,747,181
2004,12,BOEING,757,2825
2004,12,BOEING,767,1212
2004,12,BOEING,777,166
2005,1,AIRBUS,A300B4,28
2005,1,AIRBUS,A319,2103
2005,1,AIRBUS,A320,4787
2005,1,AIRBUS,A321,158
2005,1,AIRBUS,A340,15
2005,1,BOEING,717,826
2005,1,BOEING,737,5240
2005,1,BOEING,747,112
2005,1,BOEING,757,2529
2005,1,BOEING,767,973
2005,1,BOEING,777,185
2005,2,AIRBUS,A300B4,22
2005,2,AIRBUS,A319,1601
2005,2,AIRBUS,A320,3181
2005,2,AIRBUS,A321,188
2005,2,AIRBUS,A340,9
2005,2,BOEING,717,675
2005,2,BOEING,737,4398
2005,2,BOEING,747,122
2005,2,BOEING,757,1851
2005,2,BOEING,767,723
2005,2,BOEING,777,98
2005,3,AIRBUS,A300B4,12
2005,3,AIRBUS,A319,1885
2005,3,AIRBUS,A320,4233
2005,3,AIRBUS,A321,258
2005,3,AIRBUS,A340,13
2005,3,BOEING,717,1046
2005,3,BOEING,737,5433
2005,3,BOEING,747,126
2005,3,BOEING,757,2443
2005,3,BOEING,767,940
2005,3,BOEING,777,121
2005,4,AIRBUS,A300B4,33
2005,4,AIRBUS,A319,1207
2005,4,AIRBUS,A320,2555
2005,4,AIRBUS,A321,126
2005,4,AIRBUS,A340,2
2005,4,BOEING,717,707
2005,4,BOEING,737,3792
2005,4,BOEING,747,104
2005,4,BOEING,757,1484
2005,4,BOEING,767,611
2005,4,BOEING,777,79
2005,5,AIRBUS,A300B4,31
2005,5,AIRBUS,A319,1494
2005,5,AIRBUS,A320,2670
2005,5,AIRBUS,A321,91
2005,5,AIRBUS,A340,9
2005,5,BOEING,717,646
2005,5,BOEING,737,4693
2005,5,BOEING,747,136
2005,5,BOEING,757,1536
2005,5,BOEING,767,600
2005,5,BOEING,777,102
2005,6,AIRBUS,A300B4,56
2005,6,AIRBUS,A319,2425
2005,6,AIRBUS,A320,4329
2005,6,AIRBUS,A321,226
2005,6,AIRBUS,A340,8
2005,6,BOEING,717,1006
2005,6,BOEING,737,6381
2005,6,BOEING,747,164
2005,6,BOEING,757,2480
2005,6,BOEING,767,920
2005,6,BOEING,777,160
2005,7,AIRBUS,A300B4,48
2005,7,AIRBUS,A319,2699
2005,7,AIRBUS,A320,4996
2005,7,AIRBUS,A321,203
2005,7,AIRBUS,A340,10
2005,7,BOEING,717,1017
2005,7,BOEING,737,7197
2005,7,BOEING,747,185
2005,7,BOEING,757,3340
2005,7,BOEING,767,1067
2005,7,BOEING,777,135
2005,8,AIRBUS,A300B4,28
2005,8,AIRBUS,A319,2275
2005,8,AIRBUS,A320,4184
2005,8,AIRBUS,A321,132
2005,8,AIRBUS,A340,8
2005,8,BOEING,717,935
2005,8,BOEING,737,6206
2005,8,BOEING,747,162
2005,8,BOEING,757,3139
2005,8,BOEING,767,865
2005,8,BOEING,777,124
2005,9,AIRBUS,A300B4,12
2005,9,AIRBUS,A319,1379
2005,9,AIRBUS,A320,2662
2005,9,AIRBUS,A321,70
2005,9,BOEING,717,544
2005,9,BOEING,737,3597
2005,9,BOEING,747,102
2005,9,BOEING,757,1770
2005,9,BOEING,767,539
